,Short,Full,HTTP,Free float [%]
148,GPW,Giełda Papierów Wartościowych w Warszawie SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GPW,0
149,GROCLIN,Inter Groclin Auto SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GROCLIN,0
150,GRODNO,GRODNO SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GRODNO,0
151,GRUPAAZOTY,Grupa Azoty SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GRUPAAZOTY,0
152,GTC,Globe Trade Centre SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GTC,0
153,HANDLOWY,Bank Handlowy w Warszawie SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HANDLOWY,0
154,HARPER,Harper Hygienic SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HARPER,0
155,HELIO,Helio SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HELIO,0
156,HERKULES,HERKULES SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HERKULES,0
157,HMINWEST,HM Inwest S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HMINWEST,0
158,HUUUGE-S144,HUUUGE INC.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HUUUGE-S144,0
159,HYDROTOR,Przedsiębiorstwo Hydrauliki Siłowej Hydrotor SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HYDROTOR,0
160,I2DEV,i2 Development SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=I2DEV,0
161,IBSM,IBSM S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IBSM,0
162,IDEABANK,Idea Bank,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IDEABANK,0
163,IDMSA,IDM S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IDMSA,0
164,IFCAPITAL,INVESTMENT FRIENDS CAPITAL SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IFCAPITAL,0
165,IFIRMA,IFIRMA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IFIRMA,0
166,IFSA,Investment Friends S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IFSA,0
167,IIAAV,Immofinanz AG,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IIAAV,0
168,IMCOMPANY,Industrial Milk Company SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IMCOMPANY,0
169,IMMOBILE,Grupa Kapitałowa Immobile S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IMMOBILE,0
170,IMPEL,Impel SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IMPEL,0
171,IMPERIO,Imperio Alternatywna Spółka Inwestycyjna SA ,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IMPERIO,0
172,IMS,IMS SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IMS,0
173,INC,INC S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INC,0
174,INGBSK,ING Bank Śląski SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INGBSK,0
175,INPRO,INPRO SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INPRO,0
176,INSTALKRK,Instal Kraków SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INSTALKRK,0
177,INTERAOLT,AB Inter Rao Lietuva,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INTERAOLT,0
178,INTERBUD,Interbud Lublin SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INTERBUD,0
179,INTERCARS,Inter Cars SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INTERCARS,0
180,INTERFERI,INTERFERIE SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INTERFERI,0
181,INTERSPPL,INTERSPORT Polska SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INTERSPPL,0
182,INTROL,Introl SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INTROL,0
183,INVISTA,INVISTA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INVISTA,0
184,IPOPEMA,IPOPEMA Securities SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IPOPEMA,0
185,ITMTRADE,Interma Trade S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ITMTRADE,0
186,IZOBLOK,IZOBLOK SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IZOBLOK,0
